Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
75,10/26/14 00:00:00,10/26/14 23:58:00,4.513225E+002,4.052137E+002,4.175696E+001,4.351819E+000,2.546973E+007,1.#INF00E+000,1.#INF00E+000,2.455886E+005
76,10/26/14 00:00:00,10/26/14 23:58:00,4.278212E+002,3.810264E+002,4.194043E+001,4.854410E+000,2.414347E+007,1.#INF00E+000,1.#INF00E+000,2.739516E+005
77,10/26/14 00:00:00,10/26/14 23:58:00,3.497243E+002,3.080504E+002,3.530764E+001,6.366205E+000,1.973618E+007,1.#INF00E+000,1.#INF00E+000,3.592676E+005
78,10/26/14 00:00:00,10/26/14 23:58:00,6.178655E+002,6.012964E+002,1.630282E+001,2.663473E-001,3.486835E+007,1.#INF00E+000,1.#INF00E+000,1.503092E+004
79,10/26/14 00:00:00,10/26/14 23:58:00,6.117464E+002,5.853193E+002,2.582738E+001,5.997076E-001,3.452302E+007,1.#INF00E+000,1.#INF00E+000,3.384363E+004
80,10/26/14 00:00:00,10/26/14 23:58:00,5.996683E+002,5.620811E+002,3.650340E+001,1.083779E+000,3.384142E+007,1.#INF00E+000,1.#INF00E+000,6.116150E+004
81,10/26/14 00:00:00,10/26/14 23:58:00,5.377162E+002,4.938893E+002,4.132418E+001,2.502767E+000,3.034524E+007,1.#INF00E+000,1.#INF00E+000,1.412400E+005
82,10/26/14 00:00:00,10/26/14 23:58:00,4.763864E+002,4.317404E+002,4.084620E+001,3.799841E+000,2.688418E+007,1.#INF00E+000,1.#INF00E+000,2.144385E+005
83,10/26/14 00:00:00,10/26/14 23:58:00,4.066537E+002,3.626387E+002,3.877943E+001,5.235598E+000,2.294892E+007,1.#INF00E+000,1.#INF00E+000,2.954634E+005
84,10/26/14 00:00:00,10/26/14 23:58:00,5.743235E+002,5.692831E+002,4.105808E+000,9.345734E-001,3.241112E+007,1.#INF00E+000,1.#INF00E+000,5.274130E+004
85,10/26/14 00:00:00,10/26/14 23:58:00,6.032727E+002,5.921836E+002,1.063152E+001,4.575784E-001,3.404482E+007,1.#INF00E+000,1.#INF00E+000,2.582278E+004
86,10/26/14 00:00:00,10/26/14 23:58:00,5.966624E+002,5.731599E+002,2.264828E+001,8.542268E-001,3.367178E+007,1.#INF00E+000,1.#INF00E+000,4.820705E+004
87,10/26/14 00:00:00,10/26/14 23:58:00,5.493663E+002,5.153887E+002,3.192164E+001,2.056031E+000,3.100270E+007,1.#INF00E+000,1.#INF00E+000,1.160291E+005
88,10/26/14 00:00:00,10/26/14 23:58:00,4.873910E+002,4.477532E+002,3.617344E+001,3.464378E+000,2.750521E+007,1.#INF00E+000,1.#INF00E+000,1.955072E+005
89,10/26/14 00:00:00,10/26/14 23:58:00,3.977116E+002,3.567014E+002,3.566303E+001,5.347145E+000,2.244428E+007,1.#INF00E+000,1.#INF00E+000,3.017584E+005
90,10/26/14 00:00:00,10/26/14 23:58:00,3.902892E+002,3.845285E+002,1.218509E+000,4.542194E+000,2.202541E+007,1.#INF00E+000,1.#INF00E+000,2.563322E+005
91,10/26/14 00:00:00,10/26/14 23:58:00,4.350036E+002,4.275948E+002,3.614718E+000,3.794106E+000,2.454880E+007,1.#INF00E+000,1.#INF00E+000,2.141149E+005
92,10/26/14 00:00:00,10/26/14 23:58:00,4.548721E+002,4.431741E+002,8.146461E+000,3.551604E+000,2.567005E+007,1.#INF00E+000,1.#INF00E+000,2.004297E+005
93,10/26/14 00:00:00,10/26/14 23:58:00,4.142485E+002,3.949761E+002,1.472128E+001,4.551053E+000,2.337752E+007,1.#INF00E+000,1.#INF00E+000,2.568321E+005
94,10/26/14 00:00:00,10/26/14 23:58:00,3.904530E+002,3.609613E+002,2.422288E+001,5.268803E+000,2.203465E+007,1.#INF00E+000,1.#INF00E+000,2.973373E+005
95,10/26/14 00:00:00,10/26/14 23:58:00,3.601166E+002,3.212659E+002,3.275902E+001,6.091726E+000,2.032266E+007,1.#INF00E+000,1.#INF00E+000,3.437778E+005
96,10/26/14 00:00:00,10/26/14 23:58:00,7.953429E+001,6.858521E+001,1.180044E+000,9.769036E+000,4.488403E+006,1.#INF00E+000,1.#INF00E+000,5.513014E+005
97,10/26/14 00:00:00,10/26/14 23:58:00,8.859536E+001,7.317268E+001,5.693661E+000,9.729020E+000,4.999751E+006,1.#INF00E+000,1.#INF00E+000,5.490432E+005
98,10/26/14 00:00:00,10/26/14 23:58:00,1.782201E+002,1.564720E+002,1.297843E+001,8.769715E+000,1.005760E+007,1.#INF00E+000,1.#INF00E+000,4.949063E+005
99,10/26/14 00:00:00,10/26/14 23:58:00,2.679808E+002,2.434321E+002,1.705639E+001,7.492332E+000,1.512311E+007,1.#INF00E+000,1.#INF00E+000,4.228189E+005
100,10/26/14 00:00:00,10/26/14 23:58:00,3.870664E+002,3.555239E+002,2.615751E+001,5.385036E+000,2.184353E+007,1.#INF00E+000,1.#INF00E+000,3.038967E+005
101,10/26/14 00:00:00,10/26/14 23:58:00,3.943598E+002,3.762311E+002,1.318080E+001,4.947857E+000,2.225512E+007,1.#INF00E+000,1.#INF00E+000,2.792252E+005
102,10/26/14 00:00:00,10/26/14 23:58:00,4.345854E+002,4.022740E+002,2.789766E+001,4.413775E+000,2.452520E+007,1.#INF00E+000,1.#INF00E+000,2.490850E+005
103,10/26/14 00:00:00,10/26/14 23:58:00,4.172571E+002,3.972282E+002,1.550970E+001,4.519178E+000,2.354730E+007,1.#INF00E+000,1.#INF00E+000,2.550333E+005
104,10/26/14 00:00:00,10/26/14 23:58:00,3.184241E+002,3.037918E+002,8.319604E+000,6.312723E+000,1.796981E+007,1.#INF00E+000,1.#INF00E+000,3.562494E+005
105,10/26/14 00:00:00,10/26/14 23:58:00,3.315380E+002,3.202110E+002,5.301483E+000,6.025494E+000,1.870987E+007,1.#INF00E+000,1.#INF00E+000,3.400401E+005
106,10/26/14 00:00:00,10/26/14 23:58:00,3.550840E+002,3.444414E+002,5.097666E+000,5.544920E+000,2.003865E+007,1.#INF00E+000,1.#INF00E+000,3.129196E+005
107,10/26/14 00:00:00,10/26/14 23:58:00,3.263934E+002,3.163662E+002,3.971818E+000,6.055320E+000,1.841954E+007,1.#INF00E+000,1.#INF00E+000,3.417233E+005
108,10/26/14 00:00:00,10/26/14 23:58:00,3.359401E+002,3.265032E+002,3.507333E+000,5.929641E+000,1.895830E+007,1.#INF00E+000,1.#INF00E+000,3.346307E+005
109,10/26/14 00:00:00,10/26/14 23:58:00,2.977145E+002,2.860194E+002,5.038419E+000,6.656684E+000,1.680109E+007,1.#INF00E+000,1.#INF00E+000,3.756604E+005
110,10/26/14 00:00:00,10/26/14 23:58:00,2.309422E+002,2.099059E+002,1.301226E+001,8.023982E+000,1.303289E+007,1.#INF00E+000,1.#INF00E+000,4.528218E+005
111,10/26/14 00:00:00,10/26/14 23:58:00,2.135668E+002,2.053268E+002,1.368059E-001,8.103118E+000,1.205233E+007,1.#INF00E+000,1.#INF00E+000,4.572878E+005
112,10/26/14 00:00:00,10/26/14 23:58:00,4.581727E+002,4.169127E+002,3.715541E+001,4.104683E+000,2.585632E+007,1.#INF00E+000,1.#INF00E+000,2.316419E+005
113,10/26/14 00:00:00,10/26/14 23:58:00,3.489303E+002,3.174088E+002,2.537341E+001,6.148051E+000,1.969138E+007,1.#INF00E+000,1.#INF00E+000,3.469564E+005
114,10/26/14 00:00:00,10/26/14 23:58:00,3.403476E+002,3.169618E+002,1.727344E+001,6.112310E+000,1.920702E+007,1.#INF00E+000,1.#INF00E+000,3.449394E+005
115,10/26/14 00:00:00,10/26/14 23:58:00,3.984394E+002,3.655871E+002,2.768540E+001,5.166908E+000,2.248535E+007,1.#INF00E+000,1.#INF00E+000,2.915870E+005
116,10/26/14 00:00:00,10/26/14 23:58:00,3.922354E+002,3.622408E+002,2.474702E+001,5.247502E+000,2.213524E+007,1.#INF00E+000,1.#INF00E+000,2.961352E+005
117,10/26/14 00:00:00,10/26/14 23:58:00,2.883270E+002,2.782426E+002,3.385453E+000,6.698928E+000,1.627132E+007,1.#INF00E+000,1.#INF00E+000,3.780443E+005
