Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
73,04/09/14 10:01:00,04/09/14 11:00:00,1.375457E+002,1.359547E+002,0.000000E+000,1.590993E+000,1.808436E+003,3.575206E+003,0.000000E+000,2.034123E+003
74,04/09/14 10:01:00,04/09/14 11:00:00,1.883605E+002,1.502340E+002,3.680561E+001,1.320831E+000,2.476544E+003,3.950711E+003,9.881083E+002,1.688714E+003
75,04/09/14 10:01:00,04/09/14 11:00:00,2.975393E+002,1.634779E+002,1.330019E+002,1.059528E+000,3.912016E+003,4.298985E+003,3.570659E+003,1.354633E+003
76,04/09/14 10:01:00,04/09/14 11:00:00,3.458236E+002,1.631612E+002,1.816047E+002,1.057749E+000,4.546853E+003,4.290658E+003,4.875482E+003,1.352359E+003
77,04/09/14 10:01:00,04/09/14 11:00:00,3.483325E+002,1.433631E+002,2.035656E+002,1.403932E+000,4.579839E+003,3.770024E+003,5.465059E+003,1.794962E+003
78,04/09/14 10:01:00,04/09/14 11:00:00,2.742676E+002,1.991115E+002,7.481281E+001,3.432684E-001,3.606041E+003,5.236043E+003,2.008475E+003,4.388771E+002
79,04/09/14 10:01:00,04/09/14 11:00:00,2.951120E+002,2.006019E+002,9.419686E+001,3.132552E-001,3.880102E+003,5.275237E+003,2.528873E+003,4.005045E+002
80,04/09/14 10:01:00,04/09/14 11:00:00,3.837936E+002,2.074655E+002,1.761543E+002,1.738338E-001,5.046079E+003,5.455730E+003,4.729157E+003,2.222507E+002
81,04/09/14 10:01:00,04/09/14 11:00:00,4.161945E+002,1.968785E+002,2.189273E+002,3.886541E-001,5.472082E+003,5.177322E+003,5.877471E+003,4.969038E+002
82,04/09/14 10:01:00,04/09/14 11:00:00,4.168331E+002,1.832808E+002,2.328893E+002,6.629891E-001,5.480479E+003,4.819743E+003,6.252305E+003,8.476478E+002
83,04/09/14 10:01:00,04/09/14 11:00:00,3.823311E+002,1.620450E+002,2.192152E+002,1.070956E+000,5.026849E+003,4.261303E+003,5.885200E+003,1.369243E+003
84,04/09/14 10:01:00,04/09/14 11:00:00,3.195973E+002,1.918090E+002,1.272970E+002,4.913601E-001,4.202032E+003,5.044008E+003,3.417501E+003,6.282160E+002
85,04/09/14 10:01:00,04/09/14 11:00:00,3.711280E+002,2.052896E+002,1.656205E+002,2.179330E-001,4.879552E+003,5.398508E+003,4.446361E+003,2.786328E+002
86,04/09/14 10:01:00,04/09/14 11:00:00,4.398351E+002,2.116167E+002,2.281289E+002,8.954979E-002,5.782906E+003,5.564892E+003,6.124503E+003,1.144916E+002
87,04/09/14 10:01:00,04/09/14 11:00:00,4.655889E+002,2.039936E+002,2.613505E+002,2.448563E-001,6.121515E+003,5.364427E+003,7.016393E+003,3.130548E+002
88,04/09/14 10:01:00,04/09/14 11:00:00,4.512353E+002,1.892831E+002,2.614101E+002,5.420967E-001,5.932794E+003,4.977585E+003,7.017993E+003,6.930840E+002
89,04/09/14 10:01:00,04/09/14 11:00:00,4.033834E+002,1.630273E+002,2.392988E+002,1.057276E+000,5.303643E+003,4.287136E+003,6.424377E+003,1.351754E+003
90,04/09/14 10:01:00,04/09/14 11:00:00,2.225371E+002,1.325898E+002,8.836292E+001,1.584359E+000,2.925894E+003,3.486719E+003,2.372251E+003,2.025642E+003
91,04/09/14 10:01:00,04/09/14 11:00:00,2.966727E+002,1.530083E+002,1.424233E+002,1.241068E+000,3.900621E+003,4.023667E+003,3.823593E+003,1.586736E+003
92,04/09/14 10:01:00,04/09/14 11:00:00,3.852881E+002,1.704971E+002,2.138725E+002,9.185891E-001,5.065728E+003,4.483568E+003,5.741766E+003,1.174439E+003
93,04/09/14 10:01:00,04/09/14 11:00:00,4.107025E+002,1.645177E+002,2.451537E+002,1.031127E+000,5.399874E+003,4.326330E+003,6.581562E+003,1.318321E+003
94,04/09/14 10:01:00,04/09/14 11:00:00,4.148785E+002,1.600685E+002,2.536940E+002,1.115902E+000,5.454779E+003,4.209329E+003,6.810842E+003,1.426709E+003
95,04/09/14 10:01:00,04/09/14 11:00:00,3.778765E+002,1.487389E+002,2.278164E+002,1.321251E+000,4.968280E+003,3.911393E+003,6.116113E+003,1.689252E+003
96,04/09/14 10:01:00,04/09/14 11:00:00,1.255416E+002,5.835559E+001,6.470030E+001,2.485684E+000,1.650608E+003,1.534579E+003,1.736988E+003,3.178009E+003
97,04/09/14 10:01:00,04/09/14 11:00:00,1.181530E+002,5.773653E+001,5.797626E+001,2.440168E+000,1.553463E+003,1.518300E+003,1.556470E+003,3.119815E+003
98,04/09/14 10:01:00,04/09/14 11:00:00,2.531772E+002,9.706159E+001,1.540193E+002,2.096263E+000,3.328747E+003,2.552433E+003,4.134908E+003,2.680125E+003
99,04/09/14 10:01:00,04/09/14 11:00:00,3.256796E+002,1.216364E+002,2.022666E+002,1.776572E+000,4.282001E+003,3.198678E+003,5.430187E+003,2.271391E+003
100,04/09/14 10:01:00,04/09/14 11:00:00,4.123712E+002,1.587522E+002,2.524716E+002,1.147415E+000,5.421813E+003,4.174714E+003,6.778023E+003,1.466998E+003
101,04/09/14 10:01:00,04/09/14 11:00:00,3.949330E+002,1.598996E+002,2.339061E+002,1.127312E+000,5.192538E+003,4.204887E+003,6.279601E+003,1.441296E+003
102,04/09/14 10:01:00,04/09/14 11:00:00,4.366836E+002,1.722514E+002,2.635512E+002,8.809685E-001,5.741471E+003,4.529702E+003,7.075475E+003,1.126340E+003
103,04/09/14 10:01:00,04/09/14 11:00:00,4.042428E+002,1.650413E+002,2.381733E+002,1.028244E+000,5.314942E+003,4.340098E+003,6.394161E+003,1.314635E+003
104,04/09/14 10:01:00,04/09/14 11:00:00,3.167030E+002,1.272619E+002,1.877516E+002,1.689448E+000,4.163978E+003,3.346612E+003,5.040507E+003,2.160000E+003
105,04/09/14 10:01:00,04/09/14 11:00:00,2.774079E+002,1.256117E+002,1.500568E+002,1.739398E+000,3.647330E+003,3.303216E+003,4.028526E+003,2.223863E+003
106,04/09/14 10:01:00,04/09/14 11:00:00,2.793949E+002,1.328473E+002,1.449177E+002,1.629875E+000,3.673455E+003,3.493491E+003,3.890559E+003,2.083835E+003
107,04/09/14 10:01:00,04/09/14 11:00:00,2.465717E+002,1.205776E+002,1.241598E+002,1.834234E+000,3.241898E+003,3.170834E+003,3.333279E+003,2.345113E+003
108,04/09/14 10:01:00,04/09/14 11:00:00,2.479988E+002,1.244690E+002,1.217572E+002,1.772541E+000,3.260662E+003,3.273168E+003,3.268777E+003,2.266237E+003
109,04/09/14 10:01:00,04/09/14 11:00:00,2.657460E+002,1.167643E+002,1.471074E+002,1.874255E+000,3.494001E+003,3.070556E+003,3.949345E+003,2.396282E+003
110,04/09/14 10:01:00,04/09/14 11:00:00,2.728304E+002,1.030789E+002,1.677169E+002,2.034596E+000,3.587146E+003,2.710671E+003,4.502641E+003,2.601282E+003
111,04/09/14 10:01:00,04/09/14 11:00:00,7.619275E+001,7.357196E+001,2.286677E-002,2.597924E+000,1.001774E+003,1.934725E+003,6.138967E-001,3.321510E+003
112,04/09/14 10:01:00,04/09/14 11:00:00,4.208597E+002,1.641825E+002,2.556403E+002,1.036902E+000,5.533419E+003,4.317514E+003,6.863094E+003,1.325704E+003
113,04/09/14 10:01:00,04/09/14 11:00:00,3.949934E+002,1.504863E+002,2.432189E+002,1.288126E+000,5.193332E+003,3.957345E+003,6.529620E+003,1.646901E+003
114,04/09/14 10:01:00,04/09/14 11:00:00,3.702719E+002,1.416234E+002,2.272108E+002,1.437732E+000,4.868296E+003,3.724276E+003,6.099854E+003,1.838176E+003
115,04/09/14 10:01:00,04/09/14 11:00:00,4.128057E+002,1.590322E+002,2.526278E+002,1.145653E+000,5.427526E+003,4.182076E+003,6.782218E+003,1.464746E+003
116,04/09/14 10:01:00,04/09/14 11:00:00,4.085328E+002,1.568480E+002,2.505070E+002,1.177858E+000,5.371347E+003,4.124637E+003,6.725281E+003,1.505921E+003
