Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
46,07/05/17 08:00:00,07/05/17 12:00:00,1.410426E+003,1.409367E+003,0.000000E+000,1.058512E+000,4.346258E+001,7.019459E+001,0.000000E+000,2.880503E+001
47,07/05/17 08:00:00,07/05/17 12:00:00,1.292681E+003,1.291438E+003,0.000000E+000,1.243224E+000,3.983426E+001,6.432104E+001,0.000000E+000,3.383157E+001
48,07/05/17 08:00:00,07/05/17 12:00:00,5.022955E+002,4.792188E+002,2.099507E+001,2.081615E+000,1.547835E+001,2.386785E+001,1.701832E+000,5.664649E+001
49,07/05/17 08:00:00,07/05/17 12:00:00,6.911143E+002,6.435355E+002,4.562171E+001,1.957156E+000,2.129684E+001,3.205177E+001,3.698036E+000,5.325962E+001
50,07/05/17 08:00:00,07/05/17 12:00:00,9.081078E+002,8.669473E+002,3.939413E+001,1.766464E+000,2.798355E+001,4.317896E+001,3.193236E+000,4.807036E+001
51,07/05/17 08:00:00,07/05/17 12:00:00,8.430712E+002,8.412791E+002,0.000000E+000,1.792205E+000,2.597943E+001,4.190053E+001,0.000000E+000,4.877084E+001
52,07/05/17 08:00:00,07/05/17 12:00:00,9.227166E+002,9.210090E+002,0.000000E+000,1.707533E+000,2.843372E+001,4.587155E+001,0.000000E+000,4.646668E+001
53,07/05/17 08:00:00,07/05/17 12:00:00,1.155060E+003,1.153620E+003,0.000000E+000,1.439662E+000,3.559344E+001,5.745693E+001,0.000000E+000,3.917716E+001
54,07/05/17 08:00:00,07/05/17 12:00:00,3.697838E+001,3.463193E+001,0.000000E+000,2.346445E+000,1.139497E+000,1.724869E+000,0.000000E+000,6.385325E+001
55,07/05/17 08:00:00,07/05/17 12:00:00,1.076340E+002,1.053400E+002,0.000000E+000,2.294023E+000,3.316767E+000,5.246538E+000,0.000000E+000,6.242670E+001
56,07/05/17 08:00:00,07/05/17 12:00:00,2.910436E+002,2.888518E+002,0.000000E+000,2.191793E+000,8.968575E+000,1.438648E+001,0.000000E+000,5.964475E+001
57,07/05/17 08:00:00,07/05/17 12:00:00,5.557360E+002,5.536988E+002,0.000000E+000,2.037215E+000,1.712513E+001,2.757738E+001,0.000000E+000,5.543824E+001
58,07/05/17 08:00:00,07/05/17 12:00:00,7.800974E+002,7.782263E+002,0.000000E+000,1.871030E+000,2.403887E+001,3.876015E+001,0.000000E+000,5.091588E+001
59,07/05/17 08:00:00,07/05/17 12:00:00,9.455811E+002,9.438796E+002,0.000000E+000,1.701450E+000,2.913829E+001,4.701063E+001,0.000000E+000,4.630115E+001
60,07/05/17 08:00:00,07/05/17 12:00:00,1.150133E+002,1.126331E+002,0.000000E+000,2.380194E+000,3.544159E+000,5.609774E+000,0.000000E+000,6.477164E+001
61,07/05/17 08:00:00,07/05/17 12:00:00,8.588802E+001,8.352864E+001,0.000000E+000,2.359375E+000,2.646658E+000,4.160207E+000,0.000000E+000,6.420509E+001
62,07/05/17 08:00:00,07/05/17 12:00:00,2.210340E+002,2.187545E+002,0.000000E+000,2.279404E+000,6.811211E+000,1.089523E+001,0.000000E+000,6.202887E+001
63,07/05/17 08:00:00,07/05/17 12:00:00,4.665410E+002,4.644160E+002,0.000000E+000,2.125016E+000,1.437657E+001,2.313059E+001,0.000000E+000,5.782756E+001
64,07/05/17 08:00:00,07/05/17 12:00:00,6.987137E+002,6.967544E+002,0.000000E+000,1.959368E+000,2.153102E+001,3.470238E+001,0.000000E+000,5.331980E+001
65,07/05/17 08:00:00,07/05/17 12:00:00,1.073218E+003,1.071655E+003,0.000000E+000,1.562989E+000,3.307144E+001,5.337456E+001,0.000000E+000,4.253325E+001
66,07/05/17 08:00:00,07/05/17 12:00:00,6.834103E+002,6.813535E+002,0.000000E+000,2.056910E+000,2.105944E+001,3.393532E+001,0.000000E+000,5.597420E+001
67,07/05/17 08:00:00,07/05/17 12:00:00,5.834637E+002,5.813458E+002,0.000000E+000,2.117854E+000,1.797956E+001,2.895436E+001,0.000000E+000,5.763266E+001
68,07/05/17 08:00:00,07/05/17 12:00:00,6.089140E+002,6.068254E+002,0.000000E+000,2.088638E+000,1.876382E+001,3.022339E+001,0.000000E+000,5.683761E+001
69,07/05/17 08:00:00,07/05/17 12:00:00,8.259700E+002,8.241161E+002,0.000000E+000,1.853906E+000,2.545245E+001,4.104572E+001,0.000000E+000,5.044989E+001
70,07/05/17 08:00:00,07/05/17 12:00:00,9.695920E+002,9.679022E+002,0.000000E+000,1.689887E+000,2.987820E+001,4.820709E+001,0.000000E+000,4.598650E+001
71,07/05/17 08:00:00,07/05/17 12:00:00,1.189234E+003,1.187834E+003,0.000000E+000,1.400477E+000,3.664652E+001,5.916096E+001,0.000000E+000,3.811084E+001
72,07/05/17 08:00:00,07/05/17 12:00:00,1.898746E+003,1.449594E+003,4.481407E+002,1.011379E+000,5.851027E+001,7.219809E+001,3.632569E+001,2.752241E+001
73,07/05/17 08:00:00,07/05/17 12:00:00,1.426382E+003,1.284422E+003,1.406710E+002,1.289278E+000,4.395429E+001,6.397160E+001,1.140261E+001,3.508480E+001
74,07/05/17 08:00:00,07/05/17 12:00:00,1.464224E+003,1.380063E+003,8.302606E+001,1.135941E+000,4.512041E+001,6.873505E+001,6.729983E+000,3.091208E+001
75,07/05/17 08:00:00,07/05/17 12:00:00,1.531084E+003,1.469225E+003,6.088467E+001,9.744569E-001,4.718070E+001,7.317585E+001,4.935231E+000,2.651766E+001
76,07/05/17 08:00:00,07/05/17 12:00:00,1.465005E+003,1.446198E+003,1.779954E+001,1.007647E+000,4.514446E+001,7.202897E+001,1.442807E+000,2.742085E+001
